icao_code,name
DNMK,Makurdi Airport
DNMM,Murtala Muhammed International Airport
DNMN,Minna Airport
DNPO,Port Harcourt International Airport
DNSO,Sadiq Abubakar III International Airport
DNSU,Warri Airport
DNYO,Yola Airport
DNZA,Zaria Airport
DRRM,Maradi Airport
DRRN,Diori Hamani International Airport
DRRT,Tahoua Airport
DRZA,Mano Dayak International Airport
DRZL,Arlit Airport
DRZR,Zinder Airport
DTKA,Tabarka-Aïn Draham International Airport
DTMB,Monastir Habib Bourguiba International Airport
DTNH,Enfidha - Hammamet International Airport
DTTA,Tunis Carthage International Airport
DTTF,Gafsa Ksar International Airport
DTTG,Gabès Matmata International Airport
DTTJ,Djerba Zarzis International Airport
DTTR,El Borma Airport
DTTX,Sfax Thyna International Airport
DTTZ,Tozeur Nefta International Airport
DXNG,Niamtougou International Airport
DXXX,Lomé–Tokoin International Airport
EBAW,Antwerp International Airport (Deurne)
EBBR,Brussels Airport
EBCI,Brussels South Charleroi Airport
EBKT,Flanders International Airport Kortrijk-Wevelgem
EBLG,Liège Airport
EBOS,Oostende-Brugge International Airport
EBZR,Oostmalle Airfield
EDAC,Leipzig–Altenburg Airport
EDAH,Heringsdorf Airport
EDAQ,Halle-Oppin Airfield
EDAU,Riesa-Göhlis Airport
EDAX,Müritz Airpark
EDAY,Strausberg Airfield
EDBC,Cochstedt Airport
EDBH,Stralsund-Barth Airport
EDBN,Neubrandenburg Trollenhagen Airport
EDCG,Rügen Airport
EDCK,Köthen Airport
EDCP,Peenemünde Airport
EDDB,Berlin Brandenburg Airport
